feature,coefficient,abs_coefficient
num__tenure,-1.8272113456017316,1.8272113456017316
cat__Contract_Two year,-0.8313118446591641,0.8313118446591641
num__TotalCharges,0.8171860167265337,0.8171860167265337
cat__Contract_Month-to-month,0.565602244483205,0.565602244483205
cat__InternetService_DSL,-0.49967666995816307,0.49967666995816307
cat__PaperlessBilling_No,-0.44314975067845136,0.44314975067845136
cat__PhoneService_Yes,-0.43292830929795234,0.43292830929795234
cat__PaymentMethod_Electronic check,0.41282164320399145,0.41282164320399145
cat__Dependents_Yes,-0.39340479680005547,0.39340479680005547
cat__MultipleLines_No,-0.3647317128465679,0.3647317128465679
cat__PaymentMethod_Mailed check,-0.3162175984046289,0.3162175984046289
cat__OnlineSecurity_Yes,-0.3110556935026383,0.3110556935026383
cat__InternetService_Fiber optic,0.2882459197454421,0.2882459197454421
cat__PaymentMethod_Credit card (automatic),-0.2841326609760446,0.2841326609760446
cat__PaymentMethod_Bank transfer (automatic),-0.2783942910880451,0.2783942910880451
cat__StreamingMovies_No internet service,-0.2544921570521804,0.2544921570521804
cat__InternetService_No,-0.2544921570521804,0.2544921570521804
cat__TechSupport_No internet service,-0.2544921570521804,0.2544921570521804
cat__OnlineBackup_No internet service,-0.2544921570521804,0.2544921570521804
cat__OnlineSecurity_No internet service,-0.25449215705194034,0.25449215705194034
cat__DeviceProtection_No internet service,-0.25449215705194034,0.25449215705194034
cat__StreamingTV_No internet service,-0.25449215705194034,0.25449215705194034
cat__Partner_Yes,-0.24529551001477487,0.24529551001477487
cat__StreamingTV_No,-0.24264420470953812,0.24264420470953812
cat__gender_Male,-0.2368028104424434,0.2368028104424434
cat__TechSupport_Yes,-0.23497029287680138,0.23497029287680138
cat__StreamingMovies_No,-0.22988204953844424,0.22988204953844424
cat__gender_Female,-0.22912009682309162,0.22912009682309162
num__MonthlyCharges,0.22377082205648674,0.22377082205648674
cat__Partner_No,-0.22062739725021988,0.22062739725021988
cat__Contract_One year,-0.20021330708891846,0.20021330708891846
cat__OnlineBackup_Yes,-0.17521087606810207,0.17521087606810207
cat__DeviceProtection_Yes,-0.15414732411256518,0.15414732411256518
num__SeniorCitizen,0.13846280020052085,0.13846280020052085
cat__OnlineSecurity_No,0.09962494328988734,0.09962494328988734
cat__Dependents_No,-0.0725181104646893,0.0725181104646893
cat__MultipleLines_Yes,-0.06819659645039262,0.06819659645039262
cat__DeviceProtection_No,-0.05728342610016062,0.05728342610016062
cat__OnlineBackup_No,-0.03621987414491984,0.03621987414491984
cat__MultipleLines_No phone service,-0.03299459796781583,0.03299459796781583
cat__PhoneService_No,-0.032994597967815814,0.032994597967815814
cat__StreamingTV_Yes,0.031213454496801747,0.031213454496801747
cat__TechSupport_No,0.02353954266380425,0.02353954266380425
cat__PaperlessBilling_Yes,-0.02277315658680844,0.02277315658680844
cat__StreamingMovies_Yes,0.018451299325728015,0.018451299325728015
